supplement_name,category,description,used_for,benefits,how_it_works,recommended_dosage,recommended_timing,bioavailability_notes,clinical_description,tags,source_url,notes
Alanylglutamine,Muscle Gain & Exercise,"L-Alanyl-L-Glutamine, also known by the brand name Sustamine, is a dipeptide molecule of glutamine and alanine, which makes it more stable and water-soluble than glutamine by itself.",Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"Alanylglutamine is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain.","Current studies on L-alanyl-L-glutamine use a dose of 1-3g a day. More research is needed to determine the optimal dose. L-Alanyl-L-Glutamine supplementation may be similar to glutamine supplementation, in terms of dose, timing, and purpose.","Daily, following dosage notes.",,"L-Alanyl-L-Glutamine, also known by the brand name Sustamine, is a dipeptide molecule of glutamine and alanine, which makes it more stable and water-soluble than glutamine by itself. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Alanylglutamine is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain. Paraphrased from public Examine page extraction; educational only.",muscle-gain-exercise;exercise;hormones,https://examine.com/supplements/alanylglutamine/,Paraphrased from public Examine page extraction; educational only.
Aloe vera,General Health,Aloe vera is a plant that has traditionally been used topically to alleviate burns and pain and orally against constipation.,General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Aloe vera clinically.,"The optimal dosage of Aloe vera has not been determined yet, with studies employing a broad spectrum of preparations containing varied extracts at different concentrations.[1][2]",,,Aloe vera is a plant that has traditionally been used topically to alleviate burns and pain and orally against constipation. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Aloe vera clinically. Check pregnancy/lactation safety before client use.,general-health;blood-sugar;cognition;exercise;gut-health;hormones,https://examine.com/supplements/aloe-vera/,Check pregnancy/lactation safety before client use.
Alpha-GPC,Muscle Gain & Exercise,Alpha-glycerylphosphorylcholine (alpha-GPC or α-GPC) is a compound used by the body in the synthesis of neurotransmitters.,Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Alpha-GPC may influence choline availability and acetylcholine-related signaling.,"For attenuating symptoms of cognitive decline, almost all studies used a dosage of 1,200 mg per day, divided into three doses of 400 mg. For boosting power output, studies have used a dosage of 300–600 mg, supplemented 30–60 minutes prior to exercise.",Before exercise as studied.,,Alpha-glycerylphosphorylcholine (alpha-GPC or α-GPC) is a compound used by the body in the synthesis of neurotransmitters. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Alpha-GPC may influence choline availability and acetylcholine-related signaling. Check pregnancy/lactation safety before client use.,muscle-gain-exercise;cognition;exercise;hormones;heart-health,https://examine.com/supplements/alpha-gpc/,Check pregnancy/lactation safety before client use.
Alpha-Ketoglutarate,Muscle Gain & Exercise,"Alpha-ketoglutarate (AKG) is an important biological compound that plays a central role in regulating energy production through the Krebs cycle, which is the main way cells create energy.",Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Alpha-Ketoglutarate clinically.,"In research, the dosages used range from 3.6 g to 6 g, with higher dosing in people who have suffered burns, but a recommended daily dose has not yet been established.[1] Since the effects are dose-dependent, finding an accurate dosing recommendation will be an important part of ongoing research.[2]","Daily, following dosage notes.",,"Alpha-ketoglutarate (AKG) is an important biological compound that plays a central role in regulating energy production through the Krebs cycle, which is the main way cells create energy. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Alpha-Ketoglutarate clinically. Paraphrased from public Examine page extraction; educational only.",muscle-gain-exercise;cognition;exercise;stimulant;hormones,https://examine.com/supplements/alpha-ketoglutarate/,Paraphrased from public Examine page extraction; educational only.
Alpha-Lactalbumin,General Health,Alpha-lactalbumin is the primary protein in human breast milk but is also found in cow’s milk.,General Health,Potential benefits are context-specific; review the source evidence before using Alpha-Lactalbumin in a protocol.,"Alpha-Lactalbumin is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain.",No clear public dosage summary extracted; review source before use.,,,"Alpha-lactalbumin is the primary protein in human breast milk but is also found in cow’s milk. Potential benefits are context-specific; review the source evidence before using Alpha-Lactalbumin in a protocol. Alpha-Lactalbumin is being investigated for tissue-signaling and repair pathways, but human mechanisms remain uncertain. Check pregnancy/lactation safety before client use.",general-health,https://examine.com/supplements/alpha-lactalbumin/,Check pregnancy/lactation safety before client use.
Alpha-Linolenic Acid,General Health,"Alpha-linolenic acid is an essential omega-3 fatty acid found primarily in plants, including walnuts, chia seeds, flaxseed, hemp seeds, canola, and their respective oils.",General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Alpha-Linolenic Acid clinically.,"As part of the regular diet, the Institute of Medicine has established an adequate intake (AI) level for ALA of 1.6 grams for men and 1.1 grams for women. This represents the daily amount that is thought to be nutritionally adequate.[1] ALA is highly bioavailable in foods and oils,","Daily, following dosage notes.",,"Alpha-linolenic acid is an essential omega-3 fatty acid found primarily in plants, including walnuts, chia seeds, flaxseed, hemp seeds, canola, and their respective oils. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Alpha-Linolenic Acid clinically. Paraphrased from public Examine page extraction; educational only.",general-health;lipids;hormones;heart-health,https://examine.com/supplements/alpha-linolenic-acid-ala/,Paraphrased from public Examine page extraction; educational only.
Alpha-Lipoic Acid,Muscle Gain & Exercise,Alpha-lipoic acid (ALA) is a compound involved in energy metabolism in the mitochondria.,Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Alpha-Lipoic Acid is discussed in relation to oxidative-stress or inflammatory pathways.,"Formulation Alpha-lipoic acid (ALA) comes in two forms, either R-ALA (natural) or S-ALA (synthetic), and a mixture of the two is commonly used in supplements. Special formulations include Na-RALA (a sodium salt of ALA) and various complexes and nanoencapsulations intended to increase stability and absorption. Range of dosages studied Dosages of ALA have ranged from 200 to 1,800 mg per day.","Daily, following dosage notes.",,Alpha-lipoic acid (ALA) is a compound involved in energy metabolism in the mitochondria. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Alpha-Lipoic Acid is discussed in relation to oxidative-stress or inflammatory pathways. Check pregnancy/lactation safety before client use.,muscle-gain-exercise;blood-sugar;stimulant;gut-health;hormones;heart-health,https://examine.com/supplements/alpha-lipoic-acid/,Check pregnancy/lactation safety before client use.
Althaea officinalis,General Health,"The roots, flowers, and leaves of Althaea officinalis are used in traditional herbal medicine to treat a variety of issues.",General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Althaea officinalis clinically.,No clear public dosage summary extracted; review source before use.,,,"The roots, flowers, and leaves of Althaea officinalis are used in traditional herbal medicine to treat a variety of issues. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Althaea officinalis clinically. Check pregnancy/lactation safety before client use.",general-health,https://examine.com/supplements/althaea-officinalis/,Check pregnancy/lactation safety before client use.
Amla,Metabolic Health,"Emblica officinalis (Amla) is an ayurvedic herb which has all parts, including the fruits, used for preventative and therapeutic purposes.",Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Amla is discussed in relation to oxidative-stress or inflammatory pathways.,"Unless otherwise specified, most benefits associated with emblica officinalis are from the fruits of the plant. The fruits themselves (dry weight) or their powder are taken in the dosage range of 1-3g daily with the higher part of this range being seen as more effective.","Daily, following dosage notes.",,"Emblica officinalis (Amla) is an ayurvedic herb which has all parts, including the fruits, used for preventative and therapeutic purposes. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Amla is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.",metabolic-health;blood-sugar;lipids;cognition;heart-health,https://examine.com/supplements/amla/,Paraphrased from public Examine page extraction; educational only.
Anatabine,Immune & Inflammation,"Anatabine is an alkaloid compound found in tobacco and plants in the nightshade family, which includes eggplant and peppers.",Immune & Inflammation,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Anatabine is discussed in relation to oxidative-stress or inflammatory pathways.,"Animal research on anatabine used an oral dose of 12.5 – 20mg/kg of bodyweight in mice, for the purpose of autoimmune diseases. This suggests a preliminary human dose of: • 70-110 mg for a 150lb person • 90-150 mg for a 200lb person • 110-180 mg for a 250lb person These dosages are based on preliminary animal evidence, not human studies.",,,"Anatabine is an alkaloid compound found in tobacco and plants in the nightshade family, which includes eggplant and peppers. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Anatabine is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.",immune-inflammation;inflammation,https://examine.com/supplements/anatabine/,Paraphrased from public Examine page extraction; educational only.
Aniracetam,Mental Health,"Aniracetam is a fat-soluble molecule in the racetams family, anecdotally touted to be more potent than piracetam and more catered to creativity and holistic thinking as well as reducing anxiety and depression.",Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Aniracetam may influence choline availability and acetylcholine-related signaling.,"Doses between 10 mg/kg bodyweight and 100 mg/kg bodyweight have been used in rats with efficacy in laboratory settings. Limited human evidence finds that oral doses in the 1,000-1,500 mg range (over the course of a day) tend to be effective. Doses as low as 400 mg have been reported to have some efficacy,","Daily, following dosage notes.",,"Aniracetam is a fat-soluble molecule in the racetams family, anecdotally touted to be more potent than piracetam and more catered to creativity and holistic thinking as well as reducing anxiety and depression. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Aniracetam may influence choline availability and acetylcholine-related signaling. Paraphrased from public Examine page extraction; educational only.",mental-health;cognition;hormones,https://examine.com/supplements/aniracetam/,Paraphrased from public Examine page extraction; educational only.
Anthocyanins,Immune & Inflammation,"Anthocyanins are part of the flavonoids family and found in blue, purple, and red fruits and vegetables such as berries, cherries, eggplant, onion, and pomegranate seeds.",Immune & Inflammation,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Anthocyanins is discussed in relation to oxidative-stress or inflammatory pathways.,No clear public dosage summary extracted; review source before use.,,,"Anthocyanins are part of the flavonoids family and found in blue, purple, and red fruits and vegetables such as berries, cherries, eggplant, onion, and pomegranate seeds. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Anthocyanins is discussed in relation to oxidative-stress or inflammatory pathways. Check pregnancy/lactation safety before client use.",immune-inflammation;blood-sugar;cognition;inflammation,https://examine.com/supplements/anthocyanins/,Check pregnancy/lactation safety before client use.
Antioxidants,Mental Health,Antioxidants are compounds that neutralize unstable molecules in the body called free radicals and thereby limit cellular damage and oxidative stress.,Mental Health,Potential benefits are context-specific; review the source evidence before using Antioxidants in a protocol.,Antioxidants is discussed in relation to oxidative-stress or inflammatory pathways.,No clear public dosage summary extracted; review source before use.,,,Antioxidants are compounds that neutralize unstable molecules in the body called free radicals and thereby limit cellular damage and oxidative stress. Potential benefits are context-specific; review the source evidence before using Antioxidants in a protocol. Antioxidants is discussed in relation to oxidative-stress or inflammatory pathways. Paraphrased from public Examine page extraction; educational only.,mental-health;stress;inflammation,https://examine.com/supplements/antioxidants/,Paraphrased from public Examine page extraction; educational only.
Apigenin,Mental Health,"Apigenin is a bioflavonoids that appears to reduce anxiety, affect immune health, and modulate hormones.",Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Apigenin clinically.,"For general health needs, multiple daily servings of fruits and vegetables can provide adequate amounts of apigenin, which is estimated to be less than 5 mg/day.[1][2] Apigenin is sufficiently bioavailable through such dietary sources.[2] In contrast, apigenin that’s been isolated from its source is rarely stable enough to be absorbed by the body.[3] Because isolated apigenin is so unstable,","Daily, following dosage notes.",,"Apigenin is a bioflavonoids that appears to reduce anxiety, affect immune health, and modulate hormones. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Apigenin clinically. Check pregnancy/lactation safety before client use.",mental-health;cognition;exercise;hormones,https://examine.com/supplements/apigenin/,Check pregnancy/lactation safety before client use.
Arachidonic Acid,General Health,"Arachidonic acid (AA) is a fatty acid of the omega-6 class, and is the main fatty acid of interest when referring to an omega-3:6 ratio (relative to fish oil fatty acids).",General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Arachidonic Acid clinically.,"There is currently insufficient evidence to recommend an ideal dose of arachidonic acid supplementation, but anecdotally it is used at the dosage of around 2,000 mg taken 45 minutes before a workout. It is uncertain if this is an optimal dose or whether the timing is required. It should also be noted that for persons with chronic inflammatory disorders, such as rheumatoid arthritis or inflammatory bowel diseases,",,,"Arachidonic acid (AA) is a fatty acid of the omega-6 class, and is the main fatty acid of interest when referring to an omega-3:6 ratio (relative to fish oil fatty acids). Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Arachidonic Acid clinically. Paraphrased from public Examine page extraction; educational only.",general-health;cognition;exercise;inflammation;gut-health;hormones,https://examine.com/supplements/arachidonic-acid/,Paraphrased from public Examine page extraction; educational only.
Arginine,General Health,Arginine is an amino acid involved in the regulation of vascular function and blood flow.,General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Arginine clinically.,"The standard preworkout dose for arginine is 3–6 grams. Taking more than 10 grams of arginine at once can result in gastrointestinal distress and diarrhea, but it is possible to maintain elevated arginine levels throughout the day by taking three spaced doses (15–18 grams/day). However, citrulline supplementation is more effective at maintaining elevated arginine levels for long periods of time.",Before exercise as studied.,,Arginine is an amino acid involved in the regulation of vascular function and blood flow. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Arginine clinically. Paraphrased from public Examine page extraction; educational only.,general-health;blood-sugar;lipids;stress;cognition;exercise;hormones;heart-health,https://examine.com/supplements/arginine/,Paraphrased from public Examine page extraction; educational only.
Arnica,Muscle Gain & Exercise,"Arnica (Arnica montana) is a plant commonly applied topically for inflammation, bruising, and pain; it is also found in homeopathic remedies.",Muscle Gain & Exercise,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Arnica is discussed in relation to oxidative-stress or inflammatory pathways.,"When applied topically for osteoarthritis, arnica was seen to be effective at a concentration of 50 grams of tincture per 100 grams of product (i.e., 50 grams of a 1:20 arnica extract mixed into 100 grams of a gel).[1] In one study, a topical gel containing the equivalent of 10 mg of dried flowering herb was used to reduce delayed onset muscle soreness (DOMS) after intense exercise.",,,"Arnica (Arnica montana) is a plant commonly applied topically for inflammation, bruising, and pain; it is also found in homeopathic remedies. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Arnica is discussed in relation to oxidative-stress or inflammatory pathways. Check pregnancy/lactation safety before client use.",muscle-gain-exercise;cognition;exercise;inflammation;hormones;heart-health,https://examine.com/supplements/arnica/,Check pregnancy/lactation safety before client use.
Artemisia annua,General Health,"Artemisia annua is an herb native to Asia and is known for the compound artemisinin, which is used in the formulation of malaria treatments.",General Health,Potential benefits are context-specific; review the source evidence before using Artemisia annua in a protocol.,Mechanism details are not clear from the public summary; review the source before applying Artemisia annua clinically.,"⚠️ Caution: Don’t confuse Artemisia species ⚠️ Caution: Artemisia should not be used to treat malaria. In clinical research 150–300 mg of Artemisia annua extract twice daily has been used for up to 9 months for symptoms of arthritis.[6][7] In another clinical study,","Daily, following dosage notes.",,"Artemisia annua is an herb native to Asia and is known for the compound artemisinin, which is used in the formulation of malaria treatments. Potential benefits are context-specific; review the source evidence before using Artemisia annua in a protocol. Mechanism details are not clear from the public summary; review the source before applying Artemisia annua clinically. Paraphrased from public Examine page extraction; educational only.",general-health;cognition;exercise;hormones,https://examine.com/supplements/artemisia-annua/,Paraphrased from public Examine page extraction; educational only.
Artichoke Extract,Metabolic Health,Artichoke extract (Cynara scolymus) is an extract from the common bulb vegetable that appears to have the ability to stimulate bile secretion; this may underlie a weak reduction in cholesterol and improved fat digestion.,Metabolic Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,"Artichoke Extract may affect metabolic signaling, glucose handling, or lipid-related pathways.","Formulation: Artichoke extract is often derived from the leaves of the artichoke plant, but it may also include or be derived from the head, whole plant, hearts, and bud. Most of the beneficial activity is believed to come from the phenolic compounds (96 mg of gallic acid equivalent per 100 grams of the raw plant) artichoke contains. Formulation approaches include juices, aqueous extractions, and dried extractions.",,,"Artichoke extract (Cynara scolymus) is an extract from the common bulb vegetable that appears to have the ability to stimulate bile secretion; this may underlie a weak reduction in cholesterol and improved fat digestion. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Artichoke Extract may affect metabolic signaling, glucose handling, or lipid-related pathways. Paraphrased from public Examine page extraction; educational only.",metabolic-health;blood-sugar;lipids;gut-health;heart-health,https://examine.com/supplements/artichoke-extract/,Paraphrased from public Examine page extraction; educational only.
Asafoetida,General Health,"Ferula foetida (the active oleoresin being called Ferula asafoetida) is a supplement catered towards lung and gastrointestinal health, and is used as a carminative agent.",General Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Asafoetida clinically.,"Supplementation in rats tend to use 200-400mg/kg of the gum or oleoresin, which leads to an estimated human dosage of: 2,200-4,400mg for a 150lb person 2,900-5,800mg for a 200lb person 3,600-7,300mg for a 250lb person These are estimated human dosages based on the animal research, and it is not known if they are the optimal human doses or not.",,,"Ferula foetida (the active oleoresin being called Ferula asafoetida) is a supplement catered towards lung and gastrointestinal health, and is used as a carminative agent. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Asafoetida clinically. Check pregnancy/lactation safety before client use.",general-health;cognition;exercise;hormones,https://examine.com/supplements/asafoetida/,Check pregnancy/lactation safety before client use.
Ashwagandha,Mental Health,"Ashwagandha, which has been called the king of Ayurvedic herbs, is commonly used for reducing stress and anxiety.",Mental Health,Reported benefits should be matched to the specific outcome studied rather than assumed broadly.,Mechanism details are not clear from the public summary; review the source before applying Ashwagandha clinically.,"Formulation: Various parts of the ashwagandha plant are used, but the most common supplemental form is an extract of its roots that may come in the form of capsules, liquid extract, tablets, or tea. When ashwagandha is used as part of the Ayurvedic system, it usually involves more than just the herb alone. Withanolides are considered to be the major active component in ashwagandha,",,,"Ashwagandha, which has been called the king of Ayurvedic herbs, is commonly used for reducing stress and anxiety. Reported benefits should be matched to the specific outcome studied rather than assumed broadly. Mechanism details are not clear from the public summary; review the source before applying Ashwagandha clinically. Check pregnancy/lactation safety before client use.",mental-health;stress;exercise;hormones,https://examine.com/supplements/ashwagandha/,Check pregnancy/lactation safety before client use.
